"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"ABHD11"	6.8718	7.0848	6.9667	6.7187	6.8275	6.7881
"ABHD12"	7.5421	7.5784	7.5573	7.8094	7.7749	7.7601
"ABHD13"	6.4773	6.5747	6.5393	7.0076	6.9224	6.926
"ABHD14B"	7.2052	7.2435	7.338	8.3295	8.1858	8.0013
"ABHD15"	7.0309	7.1904	6.9894	7.1289	7.2095	7.1688
"ABHD16A"	6.7968	6.7674	6.7792	6.9036	6.9101	6.8802
"ABHD16B"	4.9297	5.0891	5.0699	5.0186	5.115	5.0238
"ABHD17A"	10.3473	10.3888	10.2808	10.154	10.1878	10.0915
"ABHD17B"	7.3223	7.4443	7.3108	7.4728	7.1716	7.1904
"ABHD17C"	9.2276	9.4221	9.3054	8.8747	8.8656	8.7802
"ABHD2"	7.6198	7.6385	7.5234	7.6113	7.5107	7.4384
"ABHD3"	10.5083	10.6072	10.6858	10.9647	11.0838	11.1468
"ABHD4"	6.7789	6.7662	6.785	6.8761	6.965	7.0007
"ABHD5"	7.1556	7.3186	7.2396	7.1925	7.1527	7.1631
"ABHD6"	7.2565	7.1954	7.0296	7.7637	7.4621	7.5674
"ABHD8"	4.8624	4.623	4.8485	4.9977	4.8331	4.8574
"ABI1"	9.5053	9.5767	9.6503	9.6371	9.6526	9.6623
"ABI2"	9.3943	9.3262	9.2983	9.1231	9.0608	9.0041
"ABI3"	6.6422	6.516	6.3434	6.3051	6.404	6.5728
"ABI3BP"	3.426	3.4222	3.465	3.3636	3.465	3.4847
"ABL1"	9.0769	9	8.9052	9.2979	9.3381	9.3252
"ABL2"	9.1987	9.2625	9.2912	9.1528	8.9896	8.9474
"ABLIM1"	9.5744	9.7266	9.6296	9.5725	9.5268	9.4301
"ABLIM2"	5.2931	5.3269	5.2937	5.3328	5.3667	5.5708
"ABLIM3"	5.0723	4.8451	5.2524	5.1366	5.0641	5.1857
"ABO"	5.5678	5.2525	5.2181	5.2698	5.2591	5.5452
"ABR"	7.5314	7.6276	7.5631	7.7556	7.6442	7.7383
"ABRA"	3.2567	3.391	3.2015	3.2121	3.3448	3.322
"ABRACL"	10.9955	10.8879	11.0122	11.2516	11.2367	11.304
"ABT1"	10.3278	10.4574	10.3609	10.1572	10.1237	10.0631
"ABTB1"	5.2031	5.3408	5.3275	5.0486	5.4045	5.4277
"ABTB2"	6.6125	6.6184	6.7398	6.6157	6.595	6.4948
"ACAA1"	9.2423	9.272	9.1528	9.5407	9.5736	9.5314
"ACAA2"	6.8382	6.815	6.7838	7.0648	7.155	7.0281
"ACACA"	8.9019	8.9069	8.9147	8.8831	8.8843	8.8415
"ACACB"	6.7916	6.7172	6.8133	7.2897	7.0952	7.2011
"ACAD10"	5.4524	5.512	5.5033	5.3814	5.3817	5.4769
"ACAD8"	9.03	9.0461	9.025	9.4439	9.4944	9.4512
"ACAD9"	9.2055	9.1681	9.1676	9.0082	9.0186	9.012
"ACADL"	6.0493	6.1036	6.2121	6.5155	6.5162	6.4553
"ACADM"	11.9572	11.9076	11.9407	12.1735	12.2375	12.322
"ACADS"	6.4592	6.4435	6.3579	6.8025	6.7939	6.6914
"ACADSB"	8.1836	8.19	8.08	8.0339	8.0079	8.0217
"ACADVL"	7.8547	7.8578	7.8547	8.7979	8.8636	8.7995
"ACAN"	6.0003	5.7366	5.8844	5.7601	5.9224	5.9313
"ACAP1"	5.4036	5.446	5.2622	5.4244	5.286	5.1337
"ACAP2"	7.1959	7.29	6.9583	6.707	6.6672	6.6703
"ACAP3"	6.5493	6.6365	6.5836	6.4698	6.521	6.5222
"ACAT1"	5.6115	5.8804	5.8719	5.634	5.3723	5.4222
"ACAT2"	11.5714	11.458	11.4472	11.4627	11.4958	11.5314
"ACBD3"	11.2731	11.3002	11.3143	11.1218	11.2142	11.1327
"ACBD4"	6.6608	6.6465	6.5922	6.9712	6.8158	6.8391
"ACBD5"	8.7899	8.8805	8.765	8.8376	8.829	8.7213
"ACBD6"	10.3162	10.3266	10.2825	10.5323	10.5302	10.4499
"ACCS"	6.6309	6.8115	6.6631	7.0563	7.3332	7.2538
"ACD"	9.7759	9.6317	9.5899	9.1726	9.2671	9.0074
"ACE"	4.4666	4.3061	4.5221	4.4555	4.5197	4.2418
"ACE2"	5.8977	5.9885	5.4668	5.0843	4.895	5.1236
"ACER1"	5.2928	5.4442	5.5571	5.4427	5.43	5.181
"ACER3"	8.4523	8.4375	8.4491	7.9801	7.9812	7.7378
"ACHE"	5.0855	5.0569	5.3153	5.1573	5.1947	5.1418
"ACIN1"	8.657	8.6472	8.5547	8.4714	8.5198	8.3589
"ACKR1"	5.1182	5.0375	5.0703	4.6538	5.046	4.9157
"ACKR2"	4.995	4.8389	4.7617	4.7718	4.8389	4.9385
"ACKR3"	4.0777	4.073	3.9648	4.1209	4.0263	4.2354
"ACKR4"	3.339	3.1602	3.303	3.1502	3.1949	3.4736
"ACLY"	11.101	10.9496	10.937	10.7484	10.7939	10.6856
"ACMSD"	3.6967	3.2872	3.4321	3.3328	3.4537	3.637
"ACO1"	8.1542	8.2145	8.1802	8.1649	8.1118	8.075
"ACO2"	7.5861	7.7663	7.6804	7.5698	7.7444	7.6853
"ACOT11"	4.9281	4.7082	4.7603	4.3659	4.8213	4.6272
"ACOT12"	3.1507	3.0251	3.1002	3.0817	3.2088	3.2812
"ACOT13"	10.1196	10.1285	9.9859	10.3569	10.3343	10.2634
