"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"BIN3-IT1"	5.0734	5.0012	5.0511	4.6321	5.013	4.9573
"BIRC2"	11.103	11.0438	11.2109	11.2375	11.2146	11.1555
"BIRC3"	4.0403	3.9535	3.9666	3.9331	3.8913	4.0141
"BIRC5"	9.4395	9.37	9.4235	10.0324	9.885	9.9397
"BIRC6"	10.4103	10.3951	10.4409	10.3722	10.312	10.2496
"BIRC7"	6.3328	6.2729	6.2723	6.1346	6.5478	6.4196
"BISPR"	4.787	4.6104	4.9521	4.9319	4.8646	4.9019
"BIVM"	5.9302	6.0403	5.9553	6.4346	6.124	6.0609
"BLACAT1"	3.9089	3.4482	3.647	3.3198	3.6433	3.7024
"BLCAP"	9.3699	9.3818	9.358	9.4668	9.4874	9.425
"BLID"	4.2412	4.1939	4.2614	4.2627	4.3628	4.5483
"BLK"	5.1183	4.9967	5.1894	5.0044	4.9349	4.961
"BLM"	10.2187	10.2242	10.1805	10.0896	10.0712	9.9935
"BLMH"	9.3456	9.2777	9.2903	9.6599	9.5713	9.56
"BLNK"	4.189	4.0193	4.4055	5.0384	4.4726	4.6004
"BLOC1S1"	9.008	9.0429	8.9817	8.8126	8.8809	8.7677
"BLOC1S2"	11.6013	11.6359	11.6024	11.5509	11.6736	11.536
"BLOC1S3"	7.4532	7.4182	7.2138	6.8969	6.8986	6.8926
"BLOC1S4"	10.6041	10.7033	10.701	10.1095	10.1414	10.0263
"BLOC1S6"	10.379	10.2854	10.3655	10.0438	10.0562	9.9801
"BLVRA"	8.8485	8.8867	8.716	9.2773	9.2085	9.2226
"BLVRB"	10.2553	10.3411	10.2625	9.9353	10.0653	9.9247
"BLZF1"	6.6943	6.7004	6.7356	6.7808	6.8148	6.8353
"BMF"	6.2183	6.407	6.0889	6.5858	6.5811	6.6066
"BMP1"	5.9245	5.8475	5.8787	5.8582	5.8631	5.9164
"BMP10"	4.6836	4.4736	4.5988	4.6741	4.7418	4.5804
"BMP15"	4.8178	4.5991	4.7289	4.5301	4.8762	4.7627
"BMP2"	6.0515	6.1477	6.0929	6.3885	6.0958	6.3028
"BMP2K"	6.4198	6.5067	6.3574	6.1432	6.2017	6.0342
"BMP3"	4.1285	4.1457	4.1383	4.1634	4.201	4.1473
"BMP4"	7.8461	7.9662	7.748	7.9768	7.8892	7.8251
"BMP5"	3.9619	3.963	4.0559	4.0097	4.08	4.0994
"BMP6"	4.7056	4.4627	4.4891	4.5017	4.5855	4.5595
"BMP7"	7.5114	7.5167	7.3935	7.3649	7.2251	7.2336
"BMP8A"	5.6009	5.3696	5.5269	5.3488	5.5379	5.3324
"BMP8B"	6.4376	6.436	6.4133	6.3893	6.3955	6.2089
"BMPER"	3.4339	3.5819	3.5011	3.8817	3.504	3.583
"BMPR1A"	8.6208	8.5671	8.6053	8.5641	8.506	8.4279
"BMPR1B"	6.4391	6.5917	6.3737	6.8623	6.6056	6.6423
"BMPR2"	6.6177	6.6022	6.3638	6.6008	6.5234	6.4942
"BMS1"	10.1868	10.2333	10.0996	10.7612	10.7691	10.7556
"BMS1P20"	9.3794	9.2586	9.3082	8.7677	8.6117	8.6981
"BMS1P5"	5.7869	5.7547	5.8894	6.4326	6.0027	6.163
"BMS1P6"	5.8026	5.3671	5.5463	5.6324	5.8078	5.7324
"BMX"	3.709	3.5689	3.6009	3.5023	3.5939	3.6985
"BNC1"	4.6192	4.6347	4.6499	4.8789	4.6279	4.7019
"BNC2"	5.5584	5.5431	5.5594	5.6155	5.7429	5.6221
"BNIP1"	8.6481	8.7746	8.7229	8.6274	8.5944	8.4465
"BNIP2"	9.8734	9.8688	9.9092	9.6241	9.6308	9.6245
"BNIP3"	11.2263	11.3082	11.3302	11.079	11.0023	10.9655
"BNIP3L"	11.2349	11.2167	11.2161	10.8291	10.8835	10.7426
"BNIPL"	4.4275	4.3133	4.352	4.3074	4.4237	4.2403
"BOC"	6.8046	6.8074	6.8293	6.8551	6.6281	6.7482
"BOD1"	11.4763	11.3854	11.5801	11.7864	11.7373	11.7408
"BOD1L1"	7.5694	7.7738	7.9726	7.93	7.7363	7.7474
"BOD1L2"	5.4446	5.5505	5.4199	5.3423	5.6814	5.3949
"BOK"	4.9791	4.8969	4.7609	5.0972	5.1486	4.8423
"BOLA1"	9.4738	9.5175	9.5379	9.1106	9.1124	9.107
"BOLA2"	6.206	6.407	6.4586	5.9116	5.8592	5.9665
"BOLA3"	11.05	10.9663	10.988	12.5785	12.4562	12.5157
"BOLA3-AS1"	6.472	6.4698	6.3365	6.8928	6.626	6.5731
"BOLL"	4.8133	4.351	4.5999	4.4746	4.5779	4.4416
"BORA"	10.4268	10.397	10.3725	10.2806	10.2712	10.2078
"BORCS5"	6.0936	6.3047	6.0205	6.5336	6.3388	6.1327
"BORCS6"	5.7957	5.7074	5.5241	5.6007	5.599	5.6284
"BORCS7"	11.0799	11.1731	11.2631	10.5966	10.6511	10.6126
"BORCS8"	7.889	7.9108	7.8103	8.4158	8.3588	8.2638
"BPESC1"	3.1008	3.1759	3.4045	3.3059	3.1215	3.2145
"BPGM"	9.619	9.5924	9.4405	9.3243	9.48	9.2971
"BPHL"	9.162	9.0853	9.1274	9.5829	9.5987	9.5635
"BPIFA1"	4.1937	4.3565	4.4303	4.3837	4.3103	4.6931
"BPIFA2"	4.3684	4.0215	4.0328	3.832	4.2275	4.0463
"BPIFA3"	5.342	5.6074	5.4297	5.363	5.5539	5.5484
"BPIFA4P"	4.665	4.2234	4.5285	4.3356	4.4235	4.4739
"BPIFB1"	6.2814	6.0014	6.2526	6.0479	6.1527	6.156
"BPIFB2"	5.6931	5.6877	5.7449	5.6077	5.4533	5.7449
"BPIFB4"	4.279	4.1391	4.4194	4.0616	4.3873	4.4954
"BPIFB6"	3.9251	3.8263	4.0607	3.8862	3.9219	3.9123
"BPIFC"	4.943	5.0303	5.0511	4.8669	5.0708	5.0046
"BPNT1"	8.5704	8.5892	8.5706	8.1714	8.2726	8.1146
"BPTF"	9.588	9.6585	9.5809	9.8561	9.719	9.7087
"BPY2"	3.5594	3.4903	3.4537	3.5998	3.5173	3.7592
"BRAF"	8.6359	8.6525	8.3948	7.8405	7.7086	7.5237
"BRAP"	8.7883	8.8529	8.7504	8.3258	8.304	8.1679
"BRAT1"	8.374	8.3607	8.2832	8.2131	8.2808	8.3068
"BRCA1"	9.4259	9.391	9.3809	9.4601	9.458	9.3977
"BRCA2"	8.0048	8.0137	7.9013	7.6097	7.5166	7.5503
"BRCC3"	10.1446	10.2545	10.0802	10.0449	10.0721	9.9909
"BRD1"	9.1497	9.1653	9.1272	9.1643	9.1996	9.0783
"BRD2"	12.1072	12.0034	12.1203	11.7233	11.7012	11.6483
"BRD3"	8.8208	8.8005	8.7118	9.1274	9.1241	9.1195
"BRD4"	8.9017	8.7007	8.9376	8.913	8.8602	8.8268
"BRD7"	9.0753	9.1838	9.0377	9.2846	9.2642	9.2415
"BRD7P3"	3.6566	3.9443	3.7184	3.777	3.7187	3.8356
"BRD8"	6.7674	6.5791	6.9308	6.9174	6.8243	6.9074
"BRD9"	9.6307	9.5784	9.4423	9.1739	9.2973	9.2289
"BRDT"	3.5099	3.3816	3.4165	3.5301	3.5074	3.4195
"BRE"	9.5385	9.5377	9.4802	9.9101	9.6746	9.6348
"BRE-AS1"	4.3547	4.6959	4.7138	4.7227	4.6701	4.7088
"BREA2"	5.0896	5.2633	5.045	4.9261	5.1471	5.2178
"BRF1"	5.8594	5.6594	5.8846	5.7634	5.9637	5.7343
"BRF2"	9.0757	9.1281	9.0867	8.7086	8.731	8.6563
"BRI3"	8.8319	8.8772	8.8192	8.829	8.7871	8.8276
"BRI3BP"	10.5936	10.3218	10.5797	11.2004	10.9805	11.1444
"BRICD5"	6.1817	6.3635	6.3169	6.2674	6.2203	6.0903
"BRINP1"	3.7329	3.76	3.6913	3.584	3.4904	3.5689
"BRINP2"	5.0897	4.8602	5.2068	4.8059	4.9421	4.9082
"BRINP3"	6.2153	5.9144	5.8176	6.7903	6.6064	6.6465
"BRIP1"	9.1394	8.9761	8.948	8.9762	8.9314	9.0096
"BRIX1"	10.0293	10.0443	10.0105	9.653	9.7044	9.7029
"BRK1"	9.5703	9.5559	9.5534	9.6526	9.6197	9.6146
"BRMS1"	9.2233	9.1664	8.9835	8.8533	8.8594	8.9001
"BRMS1L"	9.6034	9.5936	9.5782	9.4455	9.5637	9.5497
"BROX"	7.7289	7.8641	7.7072	7.3547	7.4362	7.1684
"BRPF1"	9.3085	9.3842	9.3671	9.3949	9.3626	9.3026
"BRPF3"	5.5271	5.3756	5.5409	5.3756	5.395	5.5129
"BRS3"	4.1474	4.1238	4.0887	4.188	4.3639	3.9587
"BRSK1"	5.2208	4.9727	5.0222	4.8219	4.6413	4.6845
"BRSK2"	5.5042	5.6262	5.6715	5.2595	5.5202	5.4571
"BRWD1"	7.2755	7.5058	7.2452	7.081	6.9934	7.0314
"BRWD1-IT2"	4.8526	4.7361	4.8765	5.1044	5.2438	5.272
"BRWD3"	7.4208	7.5733	7.3214	7.8672	7.9028	7.7462
"BSDC1"	9.4823	9.6187	9.5164	9.2192	9.3361	9.3594
"BSG"	9.4962	9.4932	9.3401	9.2557	9.2911	9.1912
"BSN"	5.8024	5.7429	5.6531	5.2452	4.9977	5.0429
"BSN-AS2"	4.6482	4.7558	4.8297	4.7559	4.8183	4.6522
"BSND"	5.3393	5.0888	5.0717	4.746	5.078	4.9741
"BSPRY"	6.8224	7.0467	6.9824	6.4687	6.7477	6.5351
"BST1"	4.0399	4.0744	4.239	4.148	4.1174	3.8053
"BST2"	6.0701	6.0901	5.9566	6.0701	6.0473	6.0485
"BTAF1"	10.9982	11.2133	11.1345	10.3423	10.5132	10.4032
"BTBD1"	11.5774	11.61	11.6608	11.5932	11.6605	11.6234
"BTBD10"	9.4066	9.5074	9.4147	9.344	9.4853	9.3677
"BTBD11"	6.4495	6.6	6.4611	6.569	6.4537	6.3415
"BTBD16"	4.4539	4.0961	4.3904	4.2124	3.9498	4.1784
"BTBD17"	5.2988	5.1259	5.2452	5.061	5.0115	5.1348
"BTBD18"	3.9925	4.215	4.4144	4.2386	4.2872	4.3581
"BTBD19"	5.5905	5.6611	5.4903	5.7065	5.6118	5.6879
"BTBD2"	6.2956	6.2134	6.2552	6.4942	6.3228	6.6949
"BTBD3"	11.0975	11.0507	11.0717	11.4142	11.362	11.4621
"BTBD6"	9.6722	9.6102	9.6339	10.0822	10.0641	10.029
"BTBD7"	7.4753	7.5198	7.5472	7.5251	7.5368	7.5256
"BTBD8"	4.5665	4.3996	4.1398	3.8392	4.0847	4.1551
"BTBD9"	5.847	5.7726	5.7517	5.7631	5.8844	5.8568
"BTC"	3.0891	3.0837	3.0994	2.9937	3.041	3.0512
"BTD"	7.0905	7.0596	7.0462	7.7295	7.6893	7.6562
"BTF3"	13.4728	13.4585	13.4329	13.4448	13.4558	13.4124
"BTF3L4"	8.7513	8.8024	8.9419	8.6877	8.6515	8.636
"BTF3P11"	3.107	3.117	3.0153	3.0907	3.0577	3.07
"BTG1"	11.4408	11.419	11.3657	10.9746	11.0133	10.9687
"BTG2"	7.2392	7.3019	7.2601	7.8193	7.8822	7.8558
"BTG3"	9.5872	9.6805	9.6932	9.5518	9.5059	9.5421
"BTG4"	3.4378	3.5175	3.3803	3.3458	3.467	3.4936
"BTK"	4.6569	4.8067	4.5819	4.7593	4.4516	4.6546
"BTLA"	4.6984	4.8449	4.6689	4.7003	4.8065	4.6274
"BTN1A1"	4.1085	3.89	3.9571	3.883	3.9711	3.9681
"BTN2A1"	10.18	10.2577	10.1674	9.7309	9.7509	9.7421
"BTN2A2"	6.8318	6.9874	6.7905	6.3035	6.1333	6.1542
"BTN2A3P"	5.2034	5.1705	5.3279	4.9107	5.1763	5.0654
"BTN3A1"	6.7277	6.7691	6.6796	6.7607	6.839	6.7786
"BTN3A2"	8.2682	8.4049	8.3119	8.1787	8.2623	8.1043
"BTN3A3"	4.4762	4.6646	4.6767	4.4774	4.6352	4.5201
"BTNL2"	5.209	4.9204	5.0968	5.0631	5.2505	4.9858
"BTNL3"	6.4814	6.4488	6.3033	6.282	6.2324	6.3605
"BTNL8"	4.1868	4.0236	4.0072	3.9064	3.9735	3.8378
"BTNL9"	6.3975	6.7372	6.8513	6.7745	6.6095	6.7311
"BTRC"	6.9148	6.8587	6.8548	7.0302	6.9634	6.9786
"BUB1"	5.6518	5.326	5.3082	5.2923	5.2023	5.3392
"BUB1B"	11.0282	11.0775	11.1311	11.1503	11.1359	11.1378
"BUB3"	11.4052	11.3979	11.508	11.6949	11.7407	11.7262
"BUD13"	9.0839	9.0643	9.035	8.8225	8.6444	8.6271
"BUD31"	11.7727	11.806	11.678	10.9873	11.0369	10.9289
"BVES"	6.7084	6.7438	6.5487	6.3689	6.2202	6.2345
"BVES-AS1"	3.9096	3.4594	3.5134	3.5747	3.3809	3.4828
"BYSL"	10.8947	10.9352	10.8559	10.3275	10.2254	10.1155
"BZRAP1"	5.2575	5.2514	5.2233	5.3638	5.6325	5.2054
"BZRAP1-AS1"	4.0201	3.9902	3.9883	3.9351	4.0575	4.1083
"BZW1"	11.6074	11.5397	11.5919	11.4099	11.412	11.3928
"BZW2"	12.0466	11.9247	12.0193	11.8704	11.8334	11.8074
"C10orf10"	7.084	7.0006	6.9958	7.0374	7.123	7.082
"C10orf107"	3.2877	3.2976	3.4107	3.2976	3.2646	3.3305
"C10orf11"	5.6835	5.7688	5.5911	5.6454	5.7581	5.7829
"C10orf113"	5.4699	5.3742	5.2792	5.2286	5.3201	5.2535
"C10orf12"	6.4395	6.6228	6.4895	6.7453	6.5172	6.6896
"C10orf126"	2.9898	3.0878	3.0754	2.9148	2.9843	2.9777
"C10orf128"	4.111	4.1321	4.1432	4.0671	4.2442	4.1851
"C10orf2"	10.1879	10.3326	10.1526	9.5656	9.6178	9.512
"C10orf25"	5.2575	5.114	5.214	5.2107	5.1216	5.2588
"C10orf35"	9.0352	9.087	8.9437	8.2143	8.2984	8.0906
"C10orf53"	5.1513	4.9346	4.9735	4.8451	4.9803	5.0932
"C10orf54"	4.4612	4.4367	4.4116	4.4757	4.5475	4.5084
"C10orf55"	4.0453	3.6413	4.2392	3.8175	3.7884	3.7911
"C10orf62"	6.0116	6.0863	5.993	5.9622	5.9583	5.7997
"C10orf67"	6.5097	6.2366	6.5774	6.3782	6.3714	6.2873
"C10orf71"	4.849	4.86	4.875	4.8403	4.7009	4.8562
"C10orf71-AS1"	3.8714	3.6586	3.711	3.6572	3.7226	3.8308
"C10orf76"	8.0225	7.9846	7.9705	7.7512	7.7631	7.5284
"C10orf82"	5.1348	5.106	5.1895	5.2861	5.2023	5.3172
"C10orf88"	8.7082	8.8322	8.7466	8.3916	8.4703	8.2834
"C10orf90"	3.6154	3.2827	3.4495	3.4537	3.5617	3.4145
"C10orf91"	4.6126	4.5674	4.5843	4.4527	4.622	4.8042
"C10orf95"	6.3452	6.4963	6.3462	6.9166	6.8178	6.8655
"C10orf99"	3.8284	3.6591	3.7144	3.6028	3.7616	3.7656
"C11orf1"	7.3465	7.354	7.3863	7.7495	7.5675	7.5404
"C11orf16"	6.7804	6.6611	6.6532	6.4532	6.6307	6.6795
"C11orf21"	4.5839	4.2447	4.6068	4.2869	4.2924	4.4005
"C11orf24"	9.1564	9.1237	9.0698	8.8058	8.9171	8.7248
"C11orf30"	7.6236	7.6317	7.6807	7.4638	7.1737	7.2431
"C11orf31"	8.5604	8.6312	8.6277	8.9587	8.8174	8.8856
"C11orf40"	3.6954	3.6651	4.0288	3.6554	3.6962	3.5927
"C11orf42"	5.6499	5.5273	5.3569	5.3108	5.2349	5.2745
"C11orf44"	4.4994	4.3995	4.4922	4.426	4.42	4.42
"C11orf45"	4.8232	4.9344	4.7502	5.1327	5.3333	5.2621
"C11orf49"	7.4228	7.3316	7.3625	7.6672	7.6948	7.6816
"C11orf53"	6.1369	5.9859	6.0894	6.0229	6.0659	5.9544
"C11orf54"	11.2427	11.2759	11.0984	9.7175	10.039	9.7682
"C11orf57"	8.6215	8.677	8.6037	8.3402	8.3299	8.3222
"C11orf58"	10.2373	10.1573	10.3259	10.3941	10.3579	10.2742
"C11orf63"	5.3404	5.348	5.4188	5.3762	5.3013	5.3157
"C11orf65"	3.2988	3.6033	3.4534	4.079	3.755	3.7273
"C11orf68"	8.364	8.3971	8.3737	8.4809	8.5547	8.5502
"C11orf70"	5.6201	5.8737	5.7714	6.6324	6.3959	6.3918
"C11orf71"	7.3111	7.3388	7.1851	7.9976	7.8923	7.8102
"C11orf72"	7.6641	7.7295	7.8019	7.7195	7.7603	7.7564
"C11orf73"	11.2522	11.1796	11.1455	10.925	10.9286	10.8884
"C11orf74"	7.5663	7.7118	7.822	9.3042	9.2847	9.3426
"C11orf80"	5.6539	5.9458	5.9022	6.2076	6.0102	6.2813
"C11orf84"	7.317	7.3022	7.4876	7.3333	7.2278	7.399
"C11orf85"	5.4774	5.3007	5.1598	5.3142	5.2371	5.3669
"C11orf86"	5.9452	6.153	5.9687	5.8495	5.9315	5.812
"C11orf87"	3.1192	3.1605	3.2006	3.1042	3.1963	3.1131
"C11orf88"	4.2013	3.9614	4.1079	4.0478	4.1606	4.1957
"C11orf94"	5.7615	5.6819	5.704	5.6022	5.5825	5.694
"C11orf95"	6.8889	6.8748	6.8035	7.4554	7.3784	7.4661
"C11orf96"	8.54	8.5152	8.6321	8.1657	8.2943	8.1371
"C11orf97"	4.045	3.7867	3.9537	3.6253	3.7624	3.7692
"C12orf10"	10.43	10.4255	10.3716	9.9975	9.9899	9.9175
"C12orf29"	10.8274	10.7994	10.8893	10.4127	10.4329	10.3459
"C12orf4"	9.8907	9.9203	9.9138	9.026	9.1273	8.9917
"C12orf40"	3.4621	3.3575	3.287	3.2219	3.344	3.2485
"C12orf42"	4.3527	4.4128	4.3798	4.1829	4.3236	4.3917
"C12orf43"	9.4261	9.5178	9.3661	9.1223	9.1342	8.9732
"C12orf45"	9.5635	9.577	9.4795	9.0182	9.1147	8.8208
"C12orf49"	7.6427	7.8224	7.5846	7.8817	7.7542	7.7128
"C12orf50"	3.4452	3.4589	3.6124	3.4589	3.4275	3.4726
"C12orf54"	3.7249	3.6697	3.7219	3.6876	3.922	3.8885
"C12orf56"	3.5899	3.5599	3.5865	3.5552	3.5899	3.7686
"C12orf57"	12.1503	12.138	12.1656	11.9808	11.9244	11.8568
"C12orf60"	6.0156	6.0443	6.0321	5.7757	5.656	5.5815
"C12orf65"	9.4111	9.3334	9.2711	9.0748	9.0427	8.9621
"C12orf66"	7.9637	8.0122	8.0169	7.7321	7.7511	7.5485
"C12orf73"	9.4691	9.4551	9.3391	9.4905	9.6002	9.4427
"C12orf74"	3.3746	3.1813	3.4143	3.4314	3.255	3.3427
"C12orf75"	10.6491	10.8602	10.7365	10.8889	10.907	10.9356
"C12orf76"	6.2495	6.2302	6.2343	6.851	6.8642	6.7931
"C12orf77"	3.449	3.7262	3.4456	3.5615	3.5979	3.5243
"C12orf80"	4.242	4.2625	4.3965	4.3565	4.5805	4.5151
"C14orf1"	9.8101	9.8271	9.6542	10.135	10.1077	10.0796
"C14orf105"	3.8034	3.7532	3.7612	3.7945	3.5258	3.9965
"C14orf119"	11.5191	11.3694	11.4742	11.2362	11.1191	11.0758
"C14orf132"	7.4134	7.4554	7.5126	8.3154	8.1852	8.1638
"C14orf142"	9.7212	9.6656	9.6656	9.7087	9.6392	9.5702
"C14orf159"	5.959	5.93	6.0293	6.4246	6.3732	6.4734
"C14orf166"	13.0252	13.0514	13.046	13.0662	13.0013	12.9936
"C14orf169"	5.0332	5.1855	5.1172	5.111	4.8863	5.1872
"C14orf178"	6.04	6.0019	6.0845	5.9966	5.9949	6.1619
"C14orf180"	6.2624	6.1754	6.304	6.2227	6.3784	6.4486
"C14orf2"	12.5169	12.4963	12.4968	12.3645	12.4422	12.3717
"C14orf28"	7.1575	7.1589	7.2848	7.4555	7.3792	7.3698
"C14orf37"	4.4875	4.6807	4.5868	5.0019	4.7752	4.9324
"C14orf39"	3.1086	3.2624	3.1733	3.3014	3.0766	3.0829
"C14orf79"	6.0313	6.1822	6.0631	6.2219	6.3385	6.1974
"C14orf80"	8.1819	8.1403	8.0927	7.8785	7.841	7.8881
"C14orf93"	6.105	6.2182	5.7975	6.0624	6.0158	5.9107
"C15orf26"	3.2149	3.1328	3.1	3.1588	3.1833	3.1396
"C15orf27"	6.2667	6.5852	6.6202	7.2087	7.4072	7.4933
"C15orf32"	3.8714	3.9798	4.049	3.6226	3.9001	3.837
"C15orf39"	7.4679	7.3027	7.3146	7.2462	7.2978	7.2338
"C15orf40"	7.1831	7.1489	7.2317	7.6923	7.5378	7.6219
"C15orf41"	5.3868	5.5381	5.3426	5.5525	5.4187	5.187
"C15orf43"	2.9784	3.199	3.1869	3.2767	3.1486	3.115
"C15orf48"	6.9433	6.8143	6.6754	5.0373	5.2682	4.891
"C15orf52"	5.8037	5.9468	5.8502	6.2837	6.1684	6.1444
"C15orf54"	4.3525	4.4204	4.3448	4.4689	4.2758	4.5967
"C15orf56"	3.9972	3.958	4.0609	3.9548	3.9157	4.047
"C15orf57"	7.304	7.5358	7.5957	7.4613	7.2497	7.1833
"C15orf59"	5.3911	4.9958	5.311	5.541	5.5953	5.4911
"C15orf61"	11.5305	11.4848	11.5337	11.4261	11.4215	11.3777
"C15orf62"	4.8451	4.661	4.7473	4.738	4.8255	4.7763
"C15orf65"	6.4216	6.2786	6.2847	7.0064	6.886	6.8552
"C16orf13"	7.4597	7.2298	7.3946	7.5126	7.5204	7.5286
"C16orf45"	6.2476	6.0278	6.1582	6.2209	6.339	6.288
"C16orf46"	6.992	7.0269	7.014	6.712	6.765	6.6982
"C16orf52"	3.9348	3.8206	4.209	4.7008	4.4604	4.4229
"C16orf54"	3.0284	2.947	3.0171	3.2831	3.1293	3.0944
"C16orf58"	5.562	5.4361	5.7007	6.0981	5.8623	5.9272
"C16orf59"	9.0182	9.0018	8.9252	8.9514	8.9069	8.8235
"C16orf62"	5.904	5.9237	5.884	6.3136	6.0121	6.1416
"C16orf70"	6.6441	6.6898	6.6269	6.608	6.55	6.5693
"C16orf71"	6.2475	6.1771	6.1424	6.071	6.2472	6.2401
"C16orf72"	9.105	8.9864	8.9069	8.7673	8.738	8.7759
"C16orf74"	6.4614	6.6988	6.4434	6.9913	6.9284	7.0807
"C16orf78"	4.2533	4.2487	4.3948	4.4201	4.2982	4.3885
"C16orf82"	4.8399	4.6301	4.7188	4.7284	4.6301	4.7534
"C16orf86"	6.6226	6.3321	6.3987	6.4493	6.602	6.4493
"C16orf87"	7.6339	7.6236	7.5825	7.498	7.5571	7.4602
"C16orf89"	5.6887	5.6684	5.1436	5.3882	5.4246	5.4984
"C16orf91"	9.6318	9.6171	9.5651	9.3424	9.3284	9.2903
"C16orf92"	5.577	5.6527	5.7454	5.5645	5.6696	5.6506
"C16orf93"	7.0299	7.153	7.0181	6.8098	6.936	6.815
"C16orf95"	5.0861	5.0832	4.8965	4.8582	4.9552	4.8424
"C17orf100"	7.2418	7.4449	7.3491	7.7364	7.5951	7.7255
"C17orf104"	4.3958	4.4839	4.3974	4.5471	4.147	4.3976
"C17orf105"	3.4537	3.4282	3.3723	3.3534	3.3734	3.3295
"C17orf47"	4.1807	4.387	4.2294	4.0168	4.1408	4.3493
"C17orf50"	4.9116	4.9624	5.1205	4.9398	4.9668	4.9239
"C17orf51"	7.3663	7.3581	7.3322	6.8771	6.9117	6.8914
"C17orf53"	6.6126	6.5754	6.5515	6.4136	6.5688	6.5367
"C17orf58"	11.1224	11.0434	10.9718	11.0904	11.1753	10.9936
"C17orf62"	8.1692	8.1655	8.1275	8.2616	8.4245	8.2889
"C17orf64"	4.0326	3.9714	4.0088	3.9944	4.0177	4.0177
"C17orf67"	6.4711	6.5179	6.4317	5.5381	5.9714	5.6604
"C17orf74"	3.591	3.3285	3.4115	3.3185	3.2927	3.3935
"C17orf75"	7.9092	7.8503	8.1352	9.4884	9.2697	9.5284
"C17orf77"	3.2464	3.2682	3.2732	3.3099	3.4242	3.454
"C17orf78"	3.3265	3.4935	3.3671	3.2722	3.5436	3.3199
"C17orf80"	7.1436	7.1026	6.8551	6.9445	7.1661	6.9746
"C17orf82"	6.8404	6.6312	6.7505	6.6608	6.7278	6.854
"C17orf89"	4.7457	4.8296	4.7825	4.8335	4.8473	4.7719
"C17orf96"	8.0741	8.1775	8.224	8.1212	8.0465	7.9838
"C17orf97"	6.322	5.9225	6.1586	6.5148	6.3624	6.4058
"C17orf98"	3.9259	3.7082	4.3179	4.1185	3.8678	3.9163
"C17orf99"	3.5044	3.326	3.2889	3.3244	3.5993	3.3355
"C18orf12"	4.8979	4.7963	4.7709	4.9019	4.8747	4.8729
"C18orf15"	4.1937	4.3662	4.3679	4.3509	4.3524	4.6194
"C18orf21"	7.5523	7.7284	7.4273	7.5422	7.4836	7.4793
"C18orf25"	6.1204	6.1387	6.0651	5.625	5.7025	5.6306
"C18orf42"	3.5476	3.6608	3.6869	3.5842	3.3851	3.4878
"C18orf54"	5.7571	6.1592	5.8654	6.6137	6.516	6.486
"C18orf61"	5.2976	5.2738	5.3153	5.1181	5.3066	5.2339
"C18orf8"	5.4802	5.3826	5.5739	5.5251	5.5265	5.4356
"C19orf12"	9.1519	9.2359	9.2306	9.4817	9.5021	9.3589
"C19orf18"	4.4566	3.9638	4.0736	3.9638	4.1278	4.2576
"C19orf24"	9.038	9.1198	8.9262	8.8473	8.873	8.6445
"C19orf25"	7.8025	7.8265	7.7165	7.6807	7.6316	7.6027
"C19orf33"	4.5657	4.3907	4.599	4.0555	4.4435	4.4011
"C19orf43"	8.9477	9.2318	9.0571	9.1066	9.1308	9.1032
"C19orf44"	6.8069	6.8546	6.9143	6.6136	6.5399	6.4832
"C19orf45"	5.5389	5.6828	5.379	5.6497	5.618	5.5212
"C19orf47"	6.0484	6.0324	6.1114	6.1197	6.0805	6.1091
"C19orf52"	9.6635	9.8059	9.5669	9.4325	9.4172	9.369
"C19orf53"	11.316	11.3101	11.291	11.3834	11.3034	11.2682
"C19orf54"	9.9337	9.8983	9.8941	9.8319	9.8176	9.7669
"C19orf57"	7.0549	6.9212	6.9583	6.8825	7.0084	6.6775
"C19orf60"	8.2712	8.3367	8.2116	9.35	9.1729	9.2456
"C19orf66"	5.152	5.4427	5.303	4.9497	5.1837	5.0034
"C19orf68"	7.6345	7.6076	7.7017	7.298	7.4869	7.2195
"C19orf70"	10.4926	10.5719	10.5657	11.3199	11.1657	11.1743
"C19orf73"	6.7261	6.9094	6.6362	6.8653	6.8758	6.8571
"C19orf80"	4.8208	5.0046	4.9193	4.4746	4.8281	4.9399
"C19orf81"	6.998	7.1622	7.0428	6.9461	6.9413	6.9505
"C19orf84"	6.1384	5.9388	6.1509	6.0043	6.0445	6.1193
"C1D"	11.0742	11.0166	11.0547	10.6339	10.7104	10.7464
"C1GALT1"	8.3228	8.2515	8.1691	8.3164	8.2126	7.9926
"C1GALT1C1"	10.7829	10.8067	10.6872	10.6855	10.7632	10.628
"C1GALT1C1L"	4.5854	4.6534	4.6939	6.3151	5.6825	6.196
"C1orf100"	4.0271	3.9894	3.9888	3.5698	4.0251	3.8333
"C1orf101"	5.3385	5.5688	5.2245	4.0583	4.2274	4.0493
"C1orf105"	4.3058	4.1937	4.0615	3.8124	4.2024	4.0163
"C1orf106"	7.3303	7.195	7.2939	7.1245	7.2218	7.051
"C1orf109"	11.0956	11.1674	11.1307	10.528	10.7301	10.698
"C1orf110"	3.1993	3.1215	3.1774	3.219	3.1727	3.1739
